corpus-id	filename	xmlid	author-name	title	author-birth	author-death	author-gender	author-ids	reference-year	first-edition	digital-edition	print-edition	provenance	title-ids	language	numwords	subgenre	narrative-perspective	size-category	reprint-count	time-slot	author_wikidata_id	work_wikidata_id
ELTeC-deu	DEU093	DEU093	Christ, Lena	Madam Bäurin	1881	1920	F	http://d-nb.info/gnd/118520555	1920	1920		1972			de	42418			short	high	T4	Q77925	Q111239591
ELTeC-deu	DEU006	DEU006	Weerth, Georg	Fragment eines Romans	1822	1856	M	http://d-nb.info/gnd/117208612	1957	1957		1956			de	60551			medium	low	T1	Q78000	Q107000830
ELTeC-deu	DEU051	DEU051	Fontane, Theodor	Unterm Birnbaum	1819	1898	M	http://d-nb.info/gnd/118534262	1885	August-September 1885		1973			de	40316			short	high	T3	Q76632	Q938689
ELTeC-deu	DEU035	DEU035	Fontane, Theodor	Vor dem Sturm	1819	1898	M	http://d-nb.info/gnd/118534262	1878	Januar- September 1878		1973			de	269471			long	high	T2	Q76632	Q1273542
ELTeC-deu	DEU094	DEU094	Schnitzler, Arthur	Der Weg ins Freie	1862	1931	M	http://d-nb.info/gnd/118609807	1908	Januar–Juni 1908		1961			de	144932			long	high	T4	Q44331	Q700479
ELTeC-deu	DEU053	DEU053	Fontane, Theodor	Graf Petöfy	1819	1898	M	http://d-nb.info/gnd/118534262	1884	Juli-August 1884		1973			de	71428			medium	high	T3	Q76632	Q1541390
ELTeC-deu	DEU059	DEU059	Fontane, Theodor	Irrungen, Wirrungen	1819	1898	M	http://d-nb.info/gnd/118534262	1887	Juli-August 1887		1973			de	63334			medium	high	T3	Q76632	Q669599
ELTeC-deu	DEU029	DEU029	Raabe, Wilhelm	Alte Nester	1831	1910	M	http://d-nb.info/gnd/118597442	1879	Juli/August               1879		1964–1966			de	97670			medium	low	T2	Q60647	Q436036
ELTeC-deu	DEU100	DEU100	              	Agave	1830	1916	F	http://d-nb.info/gnd/118528661	1880						de	51704			medium	high	T4	Q93525	Q111239419
ELTeC-deu	DEU081	DEU081	May, Karl	Und Friede auf Erden!	1842	1912	M	http://d-nb.info/gnd/118818651	1907			1907			de	210053			long	high	T4	Q22714	Q1743176
